"cardId","section","badge","title","body","linkedDrinkId","sortOrder","isActive"
"order-01","orderSteps","01","ドリンクを選ぶ","黒糖タピオカミルク、フラッペ、タピオカティー、スムージーなど、気分に合わせて選べます。","","10","true"
"order-02","orderSteps","02","サイズを選ぶ","S 360ml、R 500ml、L 700ml から選択。しっかり楽しみたい日はラージがおすすめです。","","20","true"
"order-03","orderSteps","03","甘さ・氷を調整","甘さはふつう、多め、少なめ、ゼロ。氷の量も好みに合わせて調整できます。","","30","true"
"order-04","orderSteps","04","トッピングを追加","タピオカ追加、チーズフォーム、オレオ、ホイップなどで、自分好みの一杯にできます。","","40","true"
"guide-01","recommendGuide","","初めての方","黒糖タピオカミルク。国産新鮮牛乳と黒糖タピオカの定番人気です。","","10","true"
"guide-02","recommendGuide","","甘さ控えめが好きな方","ジャスミンタピオカティーやグリーンタピオカティー。茶葉の香りをすっきり楽しめます。","","20","true"
"guide-03","recommendGuide","","濃厚な味が好きな方","オレオ、黒ごま、抹茶、チョコ系のフラッペやミルクがおすすめです。","","30","true"
"guide-04","recommendGuide","","暑い日や食後に","フルーツティー、蜂蜜柚子茶、マンゴーヨーグルトスムージーでさっぱり。","","40","true"
"season-01","seasonalPicks","","濃厚マンゴーヨーグルトスムージー","マンゴーとヨーグルトの濃厚な組み合わせ。暑い日にもデザートにも。","","10","true"
"season-02","seasonalPicks","","蜂蜜柚子ジャスミン茶","蜂蜜柚子の香りとジャスミン茶のすっきり感を楽しめる一杯。","","20","true"
"season-03","seasonalPicks","","黒糖タピオカ八女抹茶ラテ","福岡県八女産抹茶 100% 使用。抹茶の香りと黒糖タピオカが好相性です。","","30","true"
"story-01","story","","店内抽出のお茶","アッサム紅茶、ジャスミン茶、ルイボス茶、国産緑茶など、香りを活かしたティーメニューを揃えています。","","10","true"
"story-02","story","","もちもちの黒糖タピオカ","ミルク、ラテ、ティー、コーヒーまで、黒糖タピオカの食感を楽しめるメニューを用意しています。","","20","true"
"story-03","story","","福岡らしい素材","八女抹茶を使ったラテやフラッペなど、福岡で楽しみたい味わいも大切にしています。","","30","true"
