"drinkId","name","category","price","description","temperatures","isRecommended","isFeatured","isActive","supportsDecaf","sortOrder","imageFile","imageUrl"
"drink-01","濃厚黒ごまチーズタピオカフラッペ","frappe","1080","濃厚黒ごまと特製チーズフォームを合わせたリッチな一杯。","ICE","false","false","true","false","10","assets/menu/drink-01.png",""
"drink-02","キャラメルタピオカフラッペ","frappe","980","高品質エスプレッソ、キャラメルソース、厳選ミルクの芳醇な味わい。","ICE","false","false","true","false","20","assets/menu/drink-02.png",""
"drink-03","バニラタピオカフラッペ","frappe","980","バニラフレーバー、厳選ミルク、国産練乳を使ったまろやかな一杯。","ICE","false","false","true","false","30","assets/menu/drink-03.png",""
"drink-04","チョコミントタピオカフラッペ","frappe","1080","ダークチョコとミントの爽快感。プレミアム版への変更もおすすめ。","ICE","false","false","true","false","40","assets/menu/drink-04.png",""
"drink-05","オレオタピオカフラッペ","frappe","980","砕いたオレオともっちりタピオカを合わせた人気フラッペ。","ICE","true","false","true","false","50","assets/menu/drink-05.png",""
"drink-06","バナナタピオカフラッペ","frappe","1080","丸ごと冷凍したバナナと黒糖タピオカの相性が抜群。","ICE","false","false","true","false","60","assets/menu/drink-06.png",""
"drink-07","チョコタピオカフラッペ","frappe","980","ダークチョコとココアで、飲みやすさとチョコ感を両立。","ICE","false","false","true","false","70","assets/menu/drink-07.png",""
"drink-08","抹茶タピオカフラッペ","frappe","980","八女産抹茶をたっぷり使用。ミルキーで抹茶感のある一杯。","ICE","false","false","true","false","80","assets/menu/drink-08.png",""
"drink-09","濃厚黒ごまタピオカミルク","milk","980","黒ごまの芳醇な香りと粒感を楽しめる、黒ごま好きにおすすめの一品。","ICE","false","false","true","false","90","assets/menu/drink-09.png",""
"drink-10","濃厚ピーナッツタピオカミルク","milk","980","ピーナッツの香りともちもちタピオカの組み合わせ。","ICE","false","false","true","false","100","assets/menu/drink-10.png",""
"drink-11","黒糖タピオカ練乳いちごミルク","milk","980","特製いちごミルクに国産練乳を合わせた濃厚な味わい。","ICE","false","false","true","false","110","assets/menu/drink-11.png",""
"drink-12","黒糖タピオカオレオミルク","milk","740","オレオ好きにおすすめ。たっぷり混ぜて楽しむ一杯。","ICE","false","false","true","false","120","assets/menu/drink-12.png",""
"drink-13","黒糖タピオカ塩キャラメルミルク","milk","640","キャラメルの甘みとフランス産岩塩のほのかな塩味。","ICE","false","false","true","false","130","assets/menu/drink-13.png",""
"drink-14","黒糖タピオカチョコミルク","milk","640","濃厚さと飲みやすさのバランスが良いチョコミルク。","ICE","false","false","true","false","140","assets/menu/drink-14.png",""
"drink-15","黒糖タピオカミルク","milk","590","国産新鮮牛乳と黒糖タピオカの相性を楽しめる人気 no.1。","ICE","true","true","true","false","150","assets/menu/drink-15.png",""
"drink-16","バナナ豆乳黒ごまスムージー","smoothie","1080","完熟バナナ、純豆乳、黒ごまを合わせた濃厚スムージー。","ICE","false","false","true","false","160","assets/menu/drink-16.png",""
"drink-17","八女抹茶バナナスムージー","smoothie","1180","完熟バナナと八女産 100% 抹茶を合わせた一杯。","ICE","false","false","true","false","170","assets/menu/drink-17.png",""
"drink-18","特製ミックスジューススムージー","smoothie","1500","バナナ、桃、みかん、バニラカスタードの王道ミックス。","ICE","false","false","true","false","180","assets/menu/drink-18.png",""
"drink-19","バナナヨーグルトスムージー","smoothie","1080","完熟バナナとヨーグルトのシンプルな組み合わせ。","ICE","false","false","true","false","190","assets/menu/drink-19.png",""
"drink-20","濃厚マンゴーヨーグルトスムージー","smoothie","1500","マンゴーをたっぷり使用し、ヨーグルトと合わせた濃厚な一杯。","ICE","true","false","true","false","200","assets/menu/drink-20.png",""
"drink-21","アッサム紅茶タピオカチーズティー","cheese-tea","750","アッサム紅茶と店内手作りチーズフォーム。","ICE","false","false","true","false","210","assets/menu/drink-21.png",""
"drink-22","ルイボスタピオカチーズティー","cheese-tea","750","甘い香りとチーズフォームのコクを楽しめる組み合わせ。","ICE","false","false","true","false","220","assets/menu/drink-22.png",""
"drink-23","ジャスミンタピオカチーズティー","cheese-tea","750","店内抽出のジャスミン茶とチーズフォーム。","ICE","false","false","true","false","230","assets/menu/drink-23.png",""
"drink-24","グリーンタピオカチーズティー","cheese-tea","750","国産緑茶と特製チーズフォームのすっきり濃厚な一杯。","ICE","false","false","true","false","240","assets/menu/drink-24.png",""
"drink-25","黒糖タピオカほうじ茶ラテ","tea","680","鹿児島県産ほうじ茶を使用した香ばしいラテ。","ICE,HOT","false","false","true","false","250","assets/menu/drink-25.png",""
"drink-26","黒糖タピオカ八女抹茶ラテ","tea","640","福岡県八女産抹茶 100% 使用。","ICE,HOT","true","false","true","false","260","assets/menu/drink-26.png",""
"drink-27","アッサム紅茶タピオカミルクティー","tea","640","力強い香りと渋みのアッサム紅茶をミルクに合わせました。","ICE,HOT","false","false","true","false","270","assets/menu/drink-27.png",""
"drink-28","ジャスミンタピオカミルクティー","tea","640","ジャスミンの香りをしっかり感じるミルクティー。","ICE,HOT","false","false","true","false","280","assets/menu/drink-28.png",""
